ME2_TF_engine_test,1.3,23,0,10,12,0.2,,,,,,,,,,,,,,,,
25/01/2014,petrol_14_01,,,,,,,,,,,,,,,,,,,,,
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
none,linear,linear,linear,linear,linear,linear,linear,linear,linear,linear,linear,linear,linear,linear,linear,linear,linear,linear,linear,linear,linear,linear
0,120,25,120,1,0.5,10,50.5,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Time,Barometric Pressure ,Inlet Pressure ,Air Flow Pressure ,Oil Pressure ,Fuel Pressure ,Throttle Position ,Torque ,Engine Speed ,Fuel Flow Rate  ,Air Temp. ,Fuel Temp. ,Oil Out Temp. ,Exhaust Temp. ,Plant In Temp. ,Cool In Temp. ,Cool Out Temp. ,Dyno Out Temp. ,Oil In Temp. ,Cal Water In Temp. ,Cal Water Out Temp. ,Cal Exhaust In Temp. ,Cal Exhaust Out Temp. 
S,mBar,kPa,Pa,Bar,Bar,%,Nm,RPM,cm^3/min,C,C,C,C,C,C,C,C,C,C,C,C,C
575.255,1045.757,100.824,73.351,3.735,3.115,24.318,10.934,1286.148,7.44,23.16,16.736,45.896,601.989,15.738,70.223,65.927,10.102,53.82,16.943,19.839,57.688,12.314
576.094,1046.014,100.87,73.038,3.744,3.118,24.318,11.283,1291.549,6.783,23.194,16.782,45.97,602,15.673,70.337,66.088,10.089,53.749,16.855,19.852,57.76,12.269
576.934,1046.02,100.932,69.9,3.751,3.114,24.318,11.159,1291.967,6.569,23.293,16.811,45.945,602.093,15.681,70.444,66.157,10.109,53.725,16.842,19.89,57.856,12.266
1842.635,1046.544,100.643,99.352,3.597,3.119,28.401,20.402,1519.378,29.637,22.769,15.482,56.183,622.529,16.52,80.579,73.637,11.176,65.558,17.727,17.976,68.824,14.832
1843.466,1046.361,100.659,100.619,3.605,3.118,28.403,20.489,1517.969,29.703,22.015,15.064,57.06,623.964,16.506,80.152,73.283,12.222,66.507,17.374,17.119,68.567,15.846
1844.306,1045.923,100.614,101.804,3.601,3.114,28.405,20.545,1519.391,29.693,21.139,14.852,57.969,625.076,16.041,77.682,73.264,13.391,67.208,16.684,16.152,68.686,16.988
1845.146,1045.69,100.585,100.572,3.604,3.118,28.407,20.625,1520.281,29.815,20.446,14.938,58.858,625.949,15.445,76.669,73.498,14.414,67.579,15.683,15.195,69.21,18.088
1845.986,1045.43,100.593,98.471,3.602,3.119,28.408,20.442,1520.01,29.824,19.975,15.409,59.865,626.751,14.805,75.891,74.359,15.664,67.749,14.831,14.765,70.199,19.249
1846.834,1045.051,100.559,96.982,3.599,3.112,28.411,20.611,1522.354,29.778,19.372,15.973,60.697,627.246,13.998,74.091,75.146,16.691,67.46,13.768,14.346,71.216,20.024
1851.034,1044.621,100.806,99.505,3.59,3.117,28.42,20.717,1523.221,29.456,20.267,19.302,61.532,626.451,10.839,76.613,77.287,17.686,63.39,10.416,16.479,76.309,20.457
1851.874,1044.95,100.846,99.505,3.604,3.11,28.423,20.607,1522.207,29.421,20.905,19.818,61.031,625.948,10.825,77.71,78.454,16.916,62.633,10.629,17.42,76.898,19.598
1852.715,1045.124,100.864,100.773,3.593,3.119,28.423,20.796,1522.507,29.49,21.629,20.082,60.2,625.299,10.986,78.503,79.302,15.806,61.83,11.073,18.179,77.074,18.601
1853.562,1045.544,100.969,102.64,3.592,3.117,28.424,20.694,1519.322,29.898,22.494,20.097,59.367,624.926,11.552,76.587,80.12,14.768,61.442,11.954,19.069,77.234,17.586
1854.402,1045.797,100.967,102.955,3.589,3.111,28.427,20.679,1521.664,29.731,23.131,19.929,58.661,624.653,12.28,77.818,80.648,13.659,61.278,12.901,19.866,77.031,16.594
1855.243,1046.121,100.903,102.636,3.584,3.122,28.429,20.833,1525.911,29.587,23.705,19.517,57.902,624.656,13.109,79.142,80.856,12.557,61.47,14.051,20.423,76.591,15.64
2488.521,1044.879,100.689,129.58,3.285,3.12,32.5,32.786,1559.742,45.078,20.151,17.879,80.386,691.944,10.998,72.462,75.069,18.593,84.003,10.93,19.616,147.188,23.695
2489.36,1044.833,100.674,131.325,3.282,3.124,32.5,32.706,1560.073,45.167,19.975,17.657,80.286,692.522,11.464,72.323,74.866,18.623,84.141,11.296,19.332,146.724,23.614
2490.2,1044.951,100.551,122.858,3.281,3.124,32.501,33.009,1559.12,45.251,19.797,17.338,79.958,692.859,11.688,72.23,74.498,18.573,84.288,11.682,19.172,146.534,23.492
2491.041,1044.739,100.506,122.505,3.286,3.129,32.502,32.763,1556.976,45.651,19.696,17.062,79.599,693.417,12.044,72.021,74.123,18.255,84.214,11.914,18.962,146.342,23.272
2491.888,1044.957,100.52,130.679,3.279,3.124,32.503,32.621,1555.939,45.122,19.692,16.696,79.22,693.646,12.254,71.88,73.709,18.082,84.264,12.261,18.854,146.212,23.162
